title,link,category,description,telephone,address,roadAddress,mapx,mapy,search_input,split_list,input_search,stores_url,file_names
Sucrami,https://instagram.com/sucrami,"음식점>카페,디저트",,,경기도 용인시 기흥구 영덕동 1001-2 1층,경기도 용인시 기흥구 흥덕2로65번길 5 1층,318043,519442,경기도 수원시 영통구 매탄3동 롤케익,"카페,디저트",경기도 수원시 영통구 매탄3동 Sucrami,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20매탄3동%20Sucrami&sm=hty&style=v5#/list,Sucrami.jpg
커맨드커피,http://commandcoffee.co.kr,"음식점>카페,디저트",,,경기도 용인시 기흥구 영덕동 985-1,경기도 용인시 기흥구 흥덕2로87번길 18,317909,519717,경기도 수원시 영통구 매탄3동 인도음식,"카페,디저트",경기도 수원시 영통구 매탄3동 커맨드커피,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20매탄3동%20커맨드커피&sm=hty&style=v5#/list,커맨드커피.jpg
스타벅스 수원IC DT점,http://www.starbucks.co.kr/,"카페,디저트>카페",,,경기도 용인시 기흥구 영덕동 522-2 LG동광주유소,경기도 용인시 기흥구 중부대로 56,318142,518768,경기도 수원시 영통구 영통3동 다방,카페,경기도 수원시 영통구 영통3동 스타벅스 수원IC DT점,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20영통3동%20스타벅스%20수원IC%20DT점&sm=hty&style=v5#/list,스타벅스 수원IC DT점.jpg
옐로버터,https://smartstore.naver.com/yolong_caron,"음식점>카페,디저트",,,경기도 용인시 기흥구 서천동 405-2,경기도 용인시 기흥구 서그내로62번길 49,317457,516036,경기도 수원시 영통구 영통3동 마카롱,"카페,디저트",경기도 수원시 영통구 영통3동 옐로버터,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20영통3동%20옐로버터&sm=hty&style=v5#/list,옐로버터.jpg
타니예르,,"카페,디저트>베이커리",,,경기도 용인시 기흥구 서천동 730 TANIERE,경기도 용인시 기흥구 서천서로12번길 4-2 TANIERE,318008,515823,경기도 수원시 영통구 영통3동 베이커리,베이커리,경기도 수원시 영통구 영통3동 타니예르,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20영통3동%20타니예르&sm=hty&style=v5#/list,타니예르.jpg
서천사람들,,"음식점>카페,디저트",,,경기도 용인시 기흥구 서천동 407-1,경기도 용인시 기흥구 예현로35번길 27,317399,515963,경기도 수원시 영통구 망포2동 아이스크림,"카페,디저트",경기도 수원시 영통구 망포2동 서천사람들,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20망포2동%20서천사람들&sm=hty&style=v5#/list,서천사람들.jpg
모구모구 과자 점 인 광교,https://www.instagram.com/mogumogu_bake_gwanggyo,"음식점>카페,디저트>베이커리",,,경기도 용인시 수지구 상현동 1116-4 1층 108호 모구모구과자점,경기도 용인시 수지구 광교중앙로295번길 9 1층 108호 모구모구과자점,317578,522076,경기도 수원시 영통구 광교1동 과자,베이커리,경기도 수원시 영통구 광교1동 모구모구 과자 점 인 광교,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20광교1동%20모구모구%20과자%20점%20인%20광교&sm=hty&style=v5#/list,모구모구 과자 점 인 광교.jpg
타임투비,https://www.instagram.com/timetob_official/,"음식점>카페,디저트",,,경기도 용인시 수지구 성복동 556-29,경기도 용인시 수지구 성복1로281번길 11,316438,525066,경기도 수원시 영통구 광교1동 디저트,"카페,디저트",경기도 수원시 영통구 광교1동 타임투비,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20광교1동%20타임투비&sm=hty&style=v5#/list,타임투비.jpg
베이커리 꾸떼,http://www.instagram.com/gouter du miel,"카페,디저트>베이커리",,,경기도 용인시 수지구 상현동 1131 광교스타지109호,경기도 용인시 수지구 광교중앙로 320 광교스타지109호,317755,522246,경기도 수원시 영통구 광교1동 롤케익,베이커리,경기도 수원시 영통구 광교1동 베이커리 꾸떼,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20광교1동%20베이커리%20꾸떼&sm=hty&style=v5#/list,베이커리 꾸떼.jpg
토프레소 성복점,,"카페,디저트>카페",,,경기도 용인시 수지구 성복동 278-1,경기도 용인시 수지구 성복1로 106,317614,524289,경기도 수원시 영통구 광교1동 생과일쥬스,카페,경기도 수원시 영통구 광교1동 토프레소 성복점,https://m.map.naver.com/search2/search.naver?query=경기도%20수원시%20영통구%20광교1동%20토프레소%20성복점&sm=hty&style=v5#/list,토프레소 성복점.jpg
