,data,content
0,2022년 12월 15일 오후 4:20,애들아 우리 어디 갈까
1,2022년 12월 15일 오후 4:21,카페를 먼저 갔다가 술 먹으러 갈까
2,2022년 12월 15일 오후 4:21,글쎄 술먹을래
3,2022년 12월 15일 오후 4:21,카페는 넓고 사람 별로 없는곳 가자
4,2022년 12월 15일 오후 4:21,그럼 카페가쟈
5,2022년 12월 15일 오후 4:21,디저트 먹을거야
6,2022년 12월 15일 오후 4:21,디저트 맛있는곳 가자
7,2022년 12월 15일 오후 4:21,케익먹고싶어 ㅠㅠ
8,2022년 12월 15일 오후 4:21,자리 넓은 곳이 좋아 디저트 맛있는 곳이 좋아
9,2022년 12월 15일 오후 4:21,디저트
10,2022년 12월 15일 오후 4:22,나두 디저트 맛있는곳
11,2022년 12월 15일 오후 4:22,다들 어떠심
12,2022년 12월 15일 오후 4:22,좋아요
13,2022년 12월 15일 오후 4:22,오케이
14,2022년 12월 15일 오후 4:22,술 말고 밥부터 먹자
15,2022년 12월 15일 오후 4:22,양식은 별로야
16,2022년 12월 15일 오후 4:22,조용한 곳 가서 수다나 떨자
17,2022년 12월 15일 오후 4:23,일식은 어때
18,2022년 12월 15일 오후 4:23,이자카야 갈까
19,2022년 12월 15일 오후 4:23,이지카야 좋지
20,2022년 12월 15일 오후 4:23,사케 먹자
21,2022년 12월 15일 오후 4:23,우리 디저트도 많이 먹고 이자카야 가서 안주도 많이 먹으면
22,2022년 12월 15일 오후 4:23,배가 터지지 않을까
23,2022년 12월 15일 오후 4:23,나는 치킨가라아게
24,2022년 12월 15일 오후 4:23,배 안터져
25,2022년 12월 15일 오후 4:23,디저트도 쌉가능
26,2022년 12월 15일 오후 4:24,오키 1차로 케이크 조지고 2차로 치킨가라아게 패버려
27,2022년 12월 15일 오후 4:24,그럼 그날 강남역에서 만나
28,2022년 12월 15일 오후 4:24,좋아
